ifct_code,food_name,scientific_name,food_group,dietary_tag,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,fibre_g_per_100g,calcium_mg_per_100g,iron_mg_per_100g,potassium_mg_per_100g,sodium_mg_per_100g,water_g_per_100g,source_class
D069,"Ridge gourd, smooth skin",Luffa acutangula,Other Vegetables,VEGETARIAN,15.3,0.98,0.13,2.24,1.85,14.96,0.5,125.0,6.27,94.27,IFCT_DERIVED
D070,"Snake gourd, long, pale green",Trichosanthes anguina,Other Vegetables,VEGETARIAN,12.43,0.98,0.25,1.27,2.27,24.6,0.32,100.0,7.07,94.81,IFCT_DERIVED
D071,"Snake gourd, long, dark green",Trichosanthes anguina,Other Vegetables,VEGETARIAN,11.95,0.89,0.25,1.23,2.27,27.11,0.47,104.0,5.04,94.92,IFCT_DERIVED
D072,"Snake gourd, short",Trichosanthes anguina,Other Vegetables,VEGETARIAN,14.58,0.54,0.26,2.15,2.29,17.9,0.2,84.0,2.5,94.35,IFCT_DERIVED
D073,"Tinda, tender",Praecitrullus fistulosus,Other Vegetables,VEGETARIAN,13.86,1.02,0.17,1.9,2.0,19.68,0.41,56.18,20.61,94.41,IFCT_DERIVED
D074,"Tomato, green",Solanum lycopersicum,Other Vegetables,VEGETARIAN,20.79,1.12,0.27,3.18,1.62,8.49,0.42,225.0,13.11,93.21,IFCT_DERIVED
D075,"Tomato, ripe, hybrid",Solanum lycopersicum,Other Vegetables,VEGETARIAN,18.88,0.76,0.25,3.2,1.58,8.9,0.22,167.0,11.86,93.79,IFCT_DERIVED
D076,"Tomato, ripe, local",Solanum lycopersicum,Other Vegetables,VEGETARIAN,19.6,0.9,0.47,2.71,1.77,10.17,0.3,204.0,9.73,93.62,IFCT_DERIVED
D077,"Zucchini, green",Cucurbita pepo,Other Vegetables,VEGETARIAN,20.08,1.1,0.51,2.33,2.3,17.26,0.52,178.0,0.4,92.83,IFCT_DERIVED
D078,"Zucchini, yellow",Cucurbita pepo,Other Vegetables,VEGETARIAN,18.88,1.31,0.44,2.2,1.84,20.98,0.34,131.0,0.39,93.15,IFCT_DERIVED
E001,"Apple, big",Malus domestica,Fruits,VEGETARIAN,62.38,0.29,0.64,13.11,2.59,13.68,0.26,116.0,1.43,83.01,IFCT_DERIVED
E002,"Apple, green",Malus domestica,Fruits,VEGETARIAN,51.15,0.46,0.5,10.65,2.54,6.53,0.2,94.55,1.47,85.54,IFCT_DERIVED
E003,"Apple, small",Malus domestica,Fruits,VEGETARIAN,63.81,0.31,0.53,13.95,2.06,5.39,0.25,100.0,1.45,82.91,IFCT_DERIVED
E004,"Apple, small, Kashmir",Malus domestica,Fruits,VEGETARIAN,64.29,0.27,0.6,13.99,2.07,4.72,0.21,106.0,1.22,82.79,IFCT_DERIVED
E005,"Apricot, dried",Prunus armeniaca,Fruits,VEGETARIAN,315.73,3.17,0.74,72.63,3.32,28.57,2.5,285.0,3.94,16.68,IFCT_DERIVED
E006,"Apricot, processed",Prunus armeniaca,Fruits,VEGETARIAN,56.41,1.47,0.64,10.93,0.59,5.42,1.12,95.0,1.6,85.75,IFCT_DERIVED
E007,Avocado fruit,Persea  americana,Fruits,VEGETARIAN,144.36,2.95,13.86,1.75,6.69,28.48,0.81,377.0,2.81,73.56,IFCT_DERIVED
E008,Bael fruit,Aegle marmelos,Fruits,VEGETARIAN,135.99,2.63,0.57,28.21,6.31,47.95,0.23,409.0,1.56,61.36,IFCT_DERIVED
E009,"Banana, ripe, montham",Musa x paradisiaca,Fruits,VEGETARIAN,110.66,1.25,0.32,24.95,2.21,6.77,0.4,362.0,1.25,70.13,IFCT_DERIVED
E010,"Banana, ripe, poovam",Musa x paradisiaca,Fruits,VEGETARIAN,106.36,1.49,0.35,23.41,2.33,8.73,0.35,335.0,1.0,71.32,IFCT_DERIVED
E011,"Banana, ripe, red",Musa paradisiaca,Fruits,VEGETARIAN,111.62,1.29,0.29,25.21,1.98,9.56,0.24,313.0,1.11,70.28,IFCT_DERIVED
E012,"Banana, ripe, robusta",Musa x paradisiaca,Fruits,VEGETARIAN,105.16,1.23,0.33,23.63,1.94,5.07,0.28,306.0,0.85,71.93,IFCT_DERIVED
E013,Black berry,Rubus sp.,Fruits,VEGETARIAN,54.25,0.92,0.63,10.64,4.35,23.81,0.63,205.0,1.21,82.94,IFCT_DERIVED
E014,"Cherries, red",Prunus avium,Fruits,VEGETARIAN,59.75,1.49,0.46,11.87,2.12,23.88,0.36,165.0,1.64,83.61,IFCT_DERIVED
E015,"Currants, black",Ribes nigrum,Fruits,VEGETARIAN,54.25,1.51,0.53,9.93,4.07,40.32,1.36,283.0,1.45,83.27,IFCT_DERIVED
E016,Custard apple,Annona squamosa,Fruits,VEGETARIAN,98.95,1.62,0.67,20.38,5.1,28.2,0.42,278.0,3.11,71.55,IFCT_DERIVED
E017,"Dates, dry, pale brown",Phoenix dactylifera,Fruits,VEGETARIAN,320.27,2.45,0.35,74.91,8.95,71.2,3.2,804.0,3.27,11.14,IFCT_DERIVED
E018,"Dates, dry, dark brown",Phoenix dactylifera,Fruits,VEGETARIAN,310.95,2.38,0.35,72.67,9.1,66.13,4.79,782.0,3.09,13.13,IFCT_DERIVED
E019,"Dates, processed",Phoenix dactylifera,Fruits,VEGETARIAN,286.09,1.18,0.41,67.95,6.52,15.73,0.89,289.0,1.6,22.01,IFCT_DERIVED
E020,Fig,Ficus Carica,Fruits,VEGETARIAN,81.5,2.03,0.37,16.28,4.64,78.52,0.69,231.0,2.37,75.6,IFCT_DERIVED
E021,Goosberry,Emblica officinalis,Fruits,VEGETARIAN,23.66,0.34,0.16,4.39,7.75,20.14,1.25,223.0,1.37,87.02,IFCT_DERIVED
E022,"Grapes, seeded, round, black",Vitis vinifera,Fruits,VEGETARIAN,60.71,0.76,0.32,13.23,1.35,10.57,0.22,171.0,1.93,83.88,IFCT_DERIVED
E023,"Grapes, seeded, round, green",Vitis vinifera,Fruits,VEGETARIAN,56.17,0.77,0.29,12.19,1.25,11.16,0.24,166.0,1.89,85.07,IFCT_DERIVED
E024,"Grapes, seeded, round, red",Vitis vinifera,Fruits,VEGETARIAN,58.32,0.95,0.29,12.55,1.28,11.27,0.33,188.0,1.59,84.46,IFCT_DERIVED
E025,"Grapes, seedless, oval, black",Vitis vinifera,Fruits,VEGETARIAN,94.41,1.41,0.46,20.48,1.64,15.26,0.28,237.0,1.83,75.3,IFCT_DERIVED
E026,"Grapes, seedless, round, green",Vitis vinifera,Fruits,VEGETARIAN,53.54,0.62,0.26,11.81,1.28,14.22,0.24,168.0,1.81,85.55,IFCT_DERIVED
E027,"Grapes, seedless, round, black",Vitis vinifera,Fruits,VEGETARIAN,89.39,1.24,0.35,19.86,1.15,18.75,0.39,235.0,1.92,76.9,IFCT_DERIVED
E028,"Guava, white flesh",Psidium guajava,Fruits,VEGETARIAN,32.27,1.44,0.32,5.13,8.59,18.52,0.32,283.0,2.87,83.79,IFCT_DERIVED
E029,"Guava, pink flesh",Psidium guajava,Fruits,VEGETARIAN,46.61,1.19,0.25,9.14,7.39,14.22,0.4,270.0,1.89,81.22,IFCT_DERIVED
E030,"Jack fruit, ripe",Artocarpus heterophyllus,Fruits,VEGETARIAN,72.18,2.74,0.15,14.01,3.62,35.03,0.36,279.0,1.62,78.56,IFCT_DERIVED
E031,"Jambu fruit, ripe",Syzygium samarangense,Fruits,VEGETARIAN,56.17,0.82,0.17,12.3,3.07,25.36,0.33,103.0,2.64,83.33,IFCT_DERIVED
E032,Karonda fruit,Carissa carandas,Fruits,VEGETARIAN,33.7,1.15,1.67,2.87,7.25,10.81,0.87,351.0,2.55,86.04,IFCT_DERIVED
E033,"Lemon, juice",Citrus limon,Fruits,VEGETARIAN,36.57,0.41,0.75,0.0,0.0,22.68,0.12,113.0,1.21,91.59,IFCT_DERIVED
E034,"Lime, sweet, pulp",Citrus limetta,Fruits,VEGETARIAN,27.25,0.76,0.2,5.18,2.07,25.79,0.11,182.0,1.17,91.32,IFCT_DERIVED
E035,Litchi,Litchi chinensis,Fruits,VEGETARIAN,53.78,0.99,0.26,11.41,1.34,5.77,0.79,161.0,0.54,85.56,IFCT_DERIVED
E036,"Mango, ripe, banganapalli",Mangifera indica,Fruits,VEGETARIAN,41.83,0.54,0.55,8.18,1.88,15.77,0.51,144.0,1.34,88.44,IFCT_DERIVED
E037,"Mango, ripe, gulabkhas",Mangifera indica,Fruits,VEGETARIAN,49.95,0.52,0.53,10.32,1.67,19.33,0.38,115.0,1.39,86.65,IFCT_DERIVED
E038,"Mango, ripe, himsagar",Mangifera indica,Fruits,VEGETARIAN,44.69,0.46,0.54,9.03,1.55,15.54,0.29,137.0,1.31,88.04,IFCT_DERIVED
E039,"Mango, ripe, kesar",Mangifera indica,Fruits,VEGETARIAN,55.21,0.54,0.57,11.36,2.02,15.74,0.43,143.0,1.43,85.07,IFCT_DERIVED
E040,"Mango, ripe, neelam",Mangifera indica,Fruits,VEGETARIAN,42.54,0.68,0.55,8.21,1.77,11.36,0.36,137.0,1.2,88.41,IFCT_DERIVED
E041,"Mango, ripe, paheri",Mangifera indica,Fruits,VEGETARIAN,44.93,0.68,0.58,8.67,1.97,15.11,0.51,153.0,1.63,87.69,IFCT_DERIVED
E042,"Mango, ripe, totapari",Mangifera indica,Fruits,VEGETARIAN,59.27,0.41,0.49,12.75,1.73,13.34,0.28,160.0,1.32,84.14,IFCT_DERIVED
E043,Mangosteen,Garcinia mangostana,Fruits,VEGETARIAN,52.34,0.63,0.24,11.41,1.87,4.69,0.28,46.93,3.79,85.52,IFCT_DERIVED
E044,Manila tamarind,Pithecellobium dulce,Fruits,VEGETARIAN,81.74,3.56,1.14,13.54,4.4,8.51,0.71,376.0,1.35,74.54,IFCT_DERIVED
E045,"Musk melon, orange flesh",Cucumis melon,Fruits,VEGETARIAN,23.18,0.42,0.35,4.24,1.51,9.8,0.18,206.0,14.94,92.97,IFCT_DERIVED
E046,"Musk melon, yellow flesh",Cucumis melo,Fruits,VEGETARIAN,27.72,0.53,0.26,5.4,1.49,9.02,0.21,196.0,15.78,91.84,IFCT_DERIVED
E047,"Orange, pulp",Citrus aurantium,Fruits,VEGETARIAN,37.28,0.7,0.13,7.92,1.29,19.52,0.81,164.0,1.47,89.61,IFCT_DERIVED
E048,"Palm fruit, tender",Borassus flabellifer,Fruits,VEGETARIAN,24.14,0.5,0.12,4.92,2.4,0.0,0.0,158.0,1.25,91.93,IFCT_DERIVED
E049,"Papaya, ripe",Carcia papaya,Fruits,VEGETARIAN,23.9,0.42,0.16,4.61,2.83,15.02,0.23,173.0,6.68,91.47,IFCT_DERIVED
E050,Peach,Prunus communis,Fruits,VEGETARIAN,40.15,0.86,0.37,7.82,2.13,6.98,0.35,281.0,1.15,88.31,IFCT_DERIVED
E051,Pear,Pyrus sp.,Fruits,VEGETARIAN,37.52,0.36,0.27,8.09,4.48,6.55,0.28,106.0,1.64,86.49,IFCT_DERIVED
E052,Phalsa,Grewia asiatica,Fruits,VEGETARIAN,71.46,1.66,0.14,15.09,4.54,153.0,2.01,362.0,1.99,77.48,IFCT_DERIVED
E053,Pineapple,Ananas comosus,Fruits,VEGETARIAN,43.02,0.52,0.16,9.42,3.46,10.88,0.28,143.0,1.43,86.06,IFCT_DERIVED
E054,Plum,Prunus domestica,Fruits,VEGETARIAN,56.88,0.64,0.4,12.1,2.07,7.61,0.25,162.0,1.55,84.44,IFCT_DERIVED
E055,"Pomegranate, maroon seeds",Punica granatum,Fruits,VEGETARIAN,54.73,1.33,0.15,11.58,2.83,10.65,0.31,206.0,2.13,83.55,IFCT_DERIVED
E056,Pummelo,Citrus maxima,Fruits,VEGETARIAN,50.19,0.68,0.42,10.64,0.8,14.03,0.06,189.0,1.06,86.97,IFCT_DERIVED
E057,"Raisins, dried, black",Vitis vinifera,Fruits,VEGETARIAN,305.69,2.57,0.34,71.29,3.92,73.24,6.81,1105.0,10.99,19.69,IFCT_DERIVED
E058,"Raisins, dried, golden",Vitis vinifera,Fruits,VEGETARIAN,296.61,2.76,0.35,68.79,4.56,51.83,4.26,913.0,10.16,21.5,IFCT_DERIVED
E059,Rambutan,Nephelium lappaceum,Fruits,VEGETARIAN,73.14,0.68,0.16,16.84,1.02,8.67,0.37,131.0,1.75,80.87,IFCT_DERIVED
E060,Sapota,Achras sapota,Fruits,VEGETARIAN,73.37,0.92,1.26,13.9,9.6,17.87,0.49,280.0,4.61,73.64,IFCT_DERIVED
E061,Soursop,Annona muricata,Fruits,VEGETARIAN,62.14,0.74,0.94,11.94,4.95,10.05,0.29,264.0,6.78,80.85,IFCT_DERIVED
E062,Star fruit,Averrhoa carambola,Fruits,VEGETARIAN,26.29,0.79,0.39,4.51,2.81,4.97,0.45,159.0,1.56,91.18,IFCT_DERIVED
E063,Strawberry,Fragaria ananassa,Fruits,VEGETARIAN,24.62,0.97,0.56,3.4,2.5,15.28,0.36,140.0,1.19,92.03,IFCT_DERIVED
E064,"Tamarind, pulp",Tamarindus indicus,Fruits,VEGETARIAN,288.48,2.92,0.15,67.35,5.31,149.0,9.16,836.0,24.92,20.83,IFCT_DERIVED
E065,"Water melon, dark green (sugar baby)",Citrullus vulgaris,Fruits,VEGETARIAN,20.32,0.6,0.16,3.86,0.7,5.29,0.22,124.0,1.89,94.54,IFCT_DERIVED
E066,"Water melon, pale green",Citrullus vulgaris,Fruits,VEGETARIAN,16.73,0.59,0.16,3.02,0.78,4.35,0.16,126.0,1.62,95.33,IFCT_DERIVED
E067,Wood apple,Limonia acidissima,Fruits,VEGETARIAN,78.15,3.14,3.62,7.52,5.21,55.71,0.45,347.0,1.48,79.36,IFCT_DERIVED
E068,Zizyphus,Zizyphus jujuba,Fruits,VEGETARIAN,48.76,1.34,0.35,9.4,3.73,46.55,0.4,237.0,1.52,84.39,IFCT_DERIVED
F001,Beetroot,Beta vulgaris,Roots and Tubers,VEGETARIAN,35.61,1.95,0.14,6.18,3.31,17.28,0.76,306.0,69.44,86.95,IFCT_DERIVED
F002,"Carrot, orange",Dacus carota,Roots and Tubers,VEGETARIAN,33.22,0.95,0.47,5.55,4.18,35.09,0.6,273.0,52.33,87.69,IFCT_DERIVED
F003,"Carrot, red",Dacus carota,Roots and Tubers,VEGETARIAN,38.24,1.04,0.47,6.71,4.49,41.06,0.71,267.0,60.69,86.07,IFCT_DERIVED
F004,Colocasia,Colocasia antiquorum,Roots and Tubers,VEGETARIAN,88.91,3.31,0.17,17.85,3.22,30.18,0.66,514.0,4.54,73.49,IFCT_DERIVED
F005,Lotus root,Nelumbium nelumbo,Roots and Tubers,VEGETARIAN,79.35,1.94,0.93,14.67,4.7,37.71,3.34,611.0,20.63,76.26,IFCT_DERIVED
F006,"Potato, brown skin, big",Solanum tuberosum,Roots and Tubers,VEGETARIAN,69.79,1.54,0.23,14.89,1.71,9.52,0.57,541.0,4.11,80.72,IFCT_DERIVED
F007,"Potato, brown skin, small",Solanum tuberosum,Roots and Tubers,VEGETARIAN,60.95,1.35,0.22,12.9,1.69,8.53,0.53,474.0,3.97,82.97,IFCT_DERIVED
F008,"Potato, red skin",Solanum tuberosum,Roots and Tubers,VEGETARIAN,73.14,1.83,0.22,15.43,1.68,8.62,0.66,501.0,4.36,79.72,IFCT_DERIVED
F009,"Radish, elongate, red skin",Raphanus sativus,Roots and Tubers,VEGETARIAN,32.03,0.67,0.13,6.71,2.46,28.44,0.37,255.0,24.73,89.32,IFCT_DERIVED
F010,"Radish, elongate, white skin",Raphanus sativus,Roots and Tubers,VEGETARIAN,32.27,0.77,0.15,6.56,2.65,30.2,0.36,288.0,28.2,89.05,IFCT_DERIVED
F011,"Radish, round, red skin",Raphanus sativus,Roots and Tubers,VEGETARIAN,31.07,0.89,0.16,6.07,2.29,35.76,0.42,308.0,32.27,89.68,IFCT_DERIVED
F012,"Radish, round, white skin",Raphanus sativus,Roots and Tubers,VEGETARIAN,30.83,0.8,0.14,6.13,2.37,34.23,0.41,287.0,24.14,89.76,IFCT_DERIVED
F013,"Sweet potato, brown skin",Ipomoea batatas,Roots and Tubers,VEGETARIAN,108.99,1.33,0.26,24.25,3.99,27.5,0.35,345.0,29.6,69.21,IFCT_DERIVED
F014,"Sweet potato, pink skin",Ipomoea batatas,Roots and Tubers,VEGETARIAN,108.03,1.27,0.33,23.93,3.94,28.93,0.51,329.0,29.04,69.58,IFCT_DERIVED
F015,Tapioca,Manihot esculenta,Roots and Tubers,VEGETARIAN,79.83,1.03,0.2,17.81,4.61,25.89,0.81,255.0,10.86,75.23,IFCT_DERIVED
F016,Water Chestnut,Eleocharis dulcis,Roots and Tubers,VEGETARIAN,95.6,0.86,0.37,21.46,3.02,37.15,0.77,382.0,13.08,73.34,IFCT_DERIVED
F017,"Yam, elephant",Amorphophallus paeoniifolius,Roots and Tubers,VEGETARIAN,84.37,2.56,0.14,17.46,4.17,46.91,1.22,501.0,14.33,74.39,IFCT_DERIVED
F018,"Yam, ordinary",Dioscorea strydomiana,Roots and Tubers,VEGETARIAN,83.41,2.18,0.17,17.65,4.08,16.19,0.77,463.0,15.28,74.28,IFCT_DERIVED
F019,"Yam, wild",Dioscorea villosa,Roots and Tubers,VEGETARIAN,102.77,3.07,0.3,20.95,4.57,44.13,1.04,654.0,12.8,69.35,IFCT_DERIVED
G001,"Chillies, green-1",Capsicum annum,Condiments and Spices,VEGETARIAN,45.65,2.62,0.73,6.32,4.86,24.1,1.46,431.0,3.32,84.47,IFCT_DERIVED
G002,"Chillies, green-2",Capsicum annum,Condiments and Spices,VEGETARIAN,39.91,2.28,0.75,5.27,5.13,16.86,1.24,321.0,2.47,85.72,IFCT_DERIVED
G003,"Chillies, green-3",Capsicum annum,Condiments and Spices,VEGETARIAN,40.39,2.38,0.75,5.23,5.1,18.04,1.25,317.0,2.56,85.59,IFCT_DERIVED
G004,"Chillies, green-4",Capsicum annum,Condiments and Spices,VEGETARIAN,45.41,2.33,0.74,6.63,4.15,15.87,1.08,318.0,1.94,85.29,IFCT_DERIVED
G005,"Chillies, green-5",Capsicum annum,Condiments and Spices,VEGETARIAN,43.02,2.01,0.65,6.64,3.95,15.31,0.93,317.0,2.19,85.93,IFCT_DERIVED
G006,"Chillies, green-6",Capsicum annum,Condiments and Spices,VEGETARIAN,41.83,3.01,0.64,5.31,5.15,24.82,0.75,340.0,2.43,84.93,IFCT_DERIVED
G007,"Chillies, green-7",Capsicum annum,Condiments and Spices,VEGETARIAN,38.96,2.12,0.6,5.61,4.95,16.85,1.23,319.0,2.0,85.83,IFCT_DERIVED
G008,"Chillies, green - all varieties",Capsicum annum,Condiments and Spices,VEGETARIAN,42.3,2.36,0.72,5.86,4.77,18.45,1.2,341.0,2.5,85.39,IFCT_DERIVED
G009,Coriander leaves,Coriandrum sativum,Condiments and Spices,VEGETARIAN,31.07,3.52,0.7,1.93,4.66,146.0,5.3,546.0,37.0,86.99,IFCT_DERIVED
G010,Curry leaves,Murraya koenigii,Condiments and Spices,VEGETARIAN,63.58,7.41,1.06,4.51,16.83,659.0,8.67,584.0,18.66,65.33,IFCT_DERIVED
G011,"Garlic, big cloves",Allium sativum,Condiments and Spices,VEGETARIAN,123.8,6.92,0.16,21.93,5.22,20.08,1.05,430.0,9.42,64.38,IFCT_DERIVED
G012,"Garlic, small cloves",Allium sativum,Condiments and Spices,VEGETARIAN,122.85,6.75,0.14,21.84,5.47,17.63,0.88,453.0,10.56,64.42,IFCT_DERIVED
G013,"Garlic, single clove, Kashmir",Allium sativum,Condiments and Spices,VEGETARIAN,125.0,6.12,0.16,23.46,4.01,19.0,1.01,584.0,8.87,64.49,IFCT_DERIVED
G014,"Ginger, fresh",Zinziber officinale,Condiments and Spices,VEGETARIAN,54.97,2.22,0.85,8.97,5.36,18.88,1.9,407.0,10.03,81.27,IFCT_DERIVED
G015,Mango ginger,Curcuma amada,Condiments and Spices,VEGETARIAN,42.3,1.45,0.7,6.98,4.74,13.74,2.31,384.0,5.51,84.55,IFCT_DERIVED
G016,Mint leaves,Mentha spicata,Condiments and Spices,VEGETARIAN,37.05,4.66,0.65,2.39,5.89,205.0,8.56,539.0,16.87,84.24,IFCT_DERIVED
G017,"Onion, big",Allium cepa,Condiments and Spices,VEGETARIAN,48.04,1.5,0.24,9.56,2.45,21.03,0.43,171.0,5.5,85.76,IFCT_DERIVED
G018,"Onion, small",Allium cepa,Condiments and Spices,VEGETARIAN,56.64,1.82,0.16,11.58,1.16,19.92,0.53,160.0,4.06,84.67,IFCT_DERIVED
G019,Asafoetida,Ferula assa-foetida,Condiments and Spices,VEGETARIAN,331.5,6.34,1.26,71.95,5.13,266.0,15.68,245.0,16.04,9.42,IFCT_DERIVED
G020,"Cardamom, green",Elettaria cardamomum,Condiments and Spices,VEGETARIAN,255.02,8.1,2.6,47.76,23.1,378.0,8.33,1262.0,15.51,11.24,IFCT_DERIVED
G021,"Cardamom, black",Elettaria cardamomum,Condiments and Spices,VEGETARIAN,270.55,6.69,2.8,52.53,23.46,312.0,7.94,1331.0,16.25,6.69,IFCT_DERIVED
G022,"Chillies, red",Capsicum annum,Condiments and Spices,VEGETARIAN,236.62,12.69,6.4,29.46,31.15,99.83,6.23,2245.0,19.45,14.57,IFCT_DERIVED
G023,Cloves,Syzygium aromaticum,Condiments and Spices,VEGETARIAN,186.66,5.86,8.41,18.73,34.52,567.0,9.41,1434.0,183.0,26.49,IFCT_DERIVED
G024,Coriander seeds,Coriandrum sativum,Condiments and Spices,VEGETARIAN,268.88,10.66,17.47,12.98,44.81,718.0,17.64,1473.0,34.41,8.72,IFCT_DERIVED
G025,Cumin seeds,Cuminum cyminum,Condiments and Spices,VEGETARIAN,304.49,13.91,16.64,22.62,30.35,878.0,20.58,1886.0,125.0,10.59,IFCT_DERIVED
G026,Fenugreek seeds,Trigonella foenum graecum,Condiments and Spices,VEGETARIAN,234.94,25.41,5.72,10.57,47.55,135.0,8.47,891.0,40.2,7.82,IFCT_DERIVED
G027,Mace,Myristica fragrans,Condiments and Spices,VEGETARIAN,355.64,6.24,24.41,26.51,20.31,174.0,22.69,623.0,27.17,20.06,IFCT_DERIVED
G028,Nutmeg,Myristica fragrans,Condiments and Spices,VEGETARIAN,463.67,6.3,36.52,27.64,11.99,148.0,2.33,474.0,14.31,15.55,IFCT_DERIVED
G029,Omum,Trachyspermum ammi,Condiments and Spices,VEGETARIAN,357.31,15.89,21.11,24.53,20.58,1034.0,13.65,1692.0,28.58,9.71,IFCT_DERIVED
G030,Pippali,Piper longum,Condiments and Spices,VEGETARIAN,216.54,10.53,2.27,35.7,34.14,414.0,7.99,1852.0,16.28,10.95,IFCT_DERIVED
G031,"Pepper, black",Piper nigrum,Condiments and Spices,VEGETARIAN,217.5,10.12,2.74,36.22,33.16,405.0,11.91,1487.0,24.08,13.18,IFCT_DERIVED
G032,Poppy seeds,Papaver somniferum,Condiments and Spices,VEGETARIAN,422.56,20.31,30.38,12.37,26.68,1372.0,10.13,646.0,25.35,4.22,IFCT_DERIVED
G033,Turmeric powder,Curcuma domestica,Condiments and Spices,VEGETARIAN,280.59,7.66,5.03,49.22,21.38,122.0,46.08,2374.0,24.41,10.58,IFCT_DERIVED
H001,Almond,Prunus amygdalus,Nuts and Oil Seeds,VEGETARIAN,609.23,18.41,58.49,3.04,13.06,228.0,4.59,699.0,1.5,4.37,IFCT_DERIVED
H002,"Arecanut, dried, brown",Areca catechu,Nuts and Oil Seeds,VEGETARIAN,350.62,5.78,4.35,70.42,11.44,61.0,2.74,524.0,12.06,6.63,IFCT_DERIVED
H003,"Arecanut, dried, red color",Areca catechu,Nuts and Oil Seeds,VEGETARIAN,353.01,6.46,4.46,70.27,11.11,51.0,3.26,617.0,17.13,6.3,IFCT_DERIVED
H004,"Arecanut, fresh",Areca catechu,Nuts and Oil Seeds,VEGETARIAN,244.74,2.73,5.51,45.0,7.63,34.03,1.04,329.0,5.53,37.7,IFCT_DERIVED
H005,Cashew nut,Anacardium occidentale,Nuts and Oil Seeds,VEGETARIAN,582.7,18.78,45.2,25.46,3.86,34.0,5.95,635.0,9.0,4.44,IFCT_DERIVED
H006,"Coconut, kernel, dry",Cocos nucifera,Nuts and Oil Seeds,VEGETARIAN,624.04,7.27,63.26,8.01,15.88,32.0,3.13,739.0,16.68,3.97,IFCT_DERIVED
H007,"Coconut, kernel, fresh",Cocos nucifera,Nuts and Oil Seeds,VEGETARIAN,408.94,3.84,41.38,6.3,10.42,8.0,1.3,246.0,8.12,36.14,IFCT_DERIVED
H008,"Garden cress, seeds",Lepidium sativum,Nuts and Oil Seeds,VEGETARIAN,445.27,23.36,23.74,33.66,8.27,318.0,17.2,952.0,21.84,4.6,IFCT_DERIVED
H009,"Gingelly seeds, black",Sesamum indicum,Nuts and Oil Seeds,VEGETARIAN,507.65,19.17,43.1,10.29,17.16,1664.0,13.9,480.0,15.91,4.51,IFCT_DERIVED
H010,"Gingelly seeds, brown",Sesamum indicum,Nuts and Oil Seeds,VEGETARIAN,516.49,21.61,43.22,9.76,17.21,1174.0,14.95,491.0,11.94,3.62,IFCT_DERIVED
H011,"Gingelly seeds, white",Sesamum indicum,Nuts and Oil Seeds,VEGETARIAN,519.6,21.7,43.05,10.83,16.99,1283.0,15.04,460.0,15.43,3.3,IFCT_DERIVED
H012,Ground nut,Arachis hypogea,Nuts and Oil Seeds,VEGETARIAN,520.08,23.65,39.63,17.27,10.38,54.0,3.44,679.0,12.21,6.97,IFCT_DERIVED
H013,Mustard seeds,Brassica nigra,Nuts and Oil Seeds,VEGETARIAN,509.56,19.51,40.19,16.8,14.1,402.0,13.49,694.0,3.97,5.67,IFCT_DERIVED
H014,Linseeds,Linum usitatissimum,Nuts and Oil Seeds,VEGETARIAN,443.83,18.55,35.67,10.99,26.17,257.0,5.44,655.0,32.93,5.48,IFCT_DERIVED
H015,"Niger seeds, black",Guizotia abyssinica,Nuts and Oil Seeds,VEGETARIAN,512.43,18.92,38.61,22.98,10.93,572.0,18.19,716.0,10.7,4.65,IFCT_DERIVED
H016,"Niger seeds, grey",Guizotia abyssinica,Nuts and Oil Seeds,VEGETARIAN,508.6,18.34,39.53,20.59,10.96,375.0,19.61,874.0,8.08,5.66,IFCT_DERIVED
H017,Pine seeds,Pinus sp.,Nuts and Oil Seeds,VEGETARIAN,594.17,12.55,48.79,26.77,3.79,17.0,4.5,686.0,1.31,5.32,IFCT_DERIVED
H018,Pistachio nuts,Pistacia vera,Nuts and Oil Seeds,VEGETARIAN,539.44,23.35,42.49,15.82,10.64,135.0,4.5,1053.0,6.93,4.68,IFCT_DERIVED
H019,Safflower seeds,Carthamus tinctorius,Nuts and Oil Seeds,VEGETARIAN,473.47,17.66,30.87,30.18,13.49,211.0,4.06,550.0,3.05,5.24,IFCT_DERIVED
H020,Sunflower seeds,Helianthus annuus,Nuts and Oil Seeds,VEGETARIAN,586.28,23.53,51.85,6.85,10.8,176.0,5.85,559.0,1.9,3.53,IFCT_DERIVED
H021,Walnut,Juglans regia,Nuts and Oil Seeds,VEGETARIAN,671.37,14.92,64.27,10.14,5.39,105.0,3.21,457.0,1.33,3.56,IFCT_DERIVED
I001,"Jaggery, cane",Saccharum officinarum,Sugars,VEGETARIAN,353.73,1.85,0.16,84.87,0.0,107.0,4.63,488.0,25.38,11.2,IFCT_DERIVED
I002,"Sugarcane, juice",Saccharum officinarum,Sugars,VEGETARIAN,57.84,0.16,0.4,13.11,0.56,18.0,1.12,150.0,1.16,85.54,IFCT_DERIVED
J001,"Button mushroom, fresh",Agaricus sp.,Mushrooms,VEGETARIAN,27.49,3.68,0.42,1.98,3.11,18.38,0.29,318.0,7.72,90.09,IFCT_DERIVED
